,FAA,name,state,city
4648,TN30,Cub Haven Airport,TN,Niota
4649,US-0713,Trigger Gap Airport,AR,Norfork
4650,US-0590,Bison Hill Airport,OK,Norman
4651,KOWK,Central Maine/Norridgewock Airport,ME,Norridgewock
4652,CT24,North Canaan Aviation Facilities Inc Airport,CT,North Canaan
4653,KRBM,Robinson Army Air Field,AR,North Little Rock
4654,AA76,Timber Trails Airport,AK,North Pole
4655,78AA,Lakewood Airport,AK,North Pole
4656,5AK2,Howards Airport,AK,North Pole
4657,5AK3,Airway Airport,AK,North Pole
4658,95Z,Bradley Sky-Ranch Airport,AK,North Pole
4659,AK41,Greg'n Sage Airport,AK,North Pole
4660,15ME,Eagle Field,ME,North Yarmouth
4661,US-0589,North Fox Island Airport,MI,Northport
4662,KNRN,Norton Municipal Airport,KS,Norton
4663,49K,Norwich Airport,KS,Norwich
4664,US-5647,Cherry Field,MI,Nunica
4665,33C,Jablonski Airport,MI,Nunica
4666,5N7,Hat Field,MI,Nunica
4667,ZNC,Nyac Airport,AK,Nyac
4668,97OG,Bybee Field,OR,Nyssa
4669,K9M6,Kelly Airport,LA,Oak Grove
4670,K2D5,Oakes Municipal Airport,ND,Oakes
4671,KOEL,Oakley Municipal Airport,KS,Oakley
4672,2IG4,Ed-Air Airport,IN,Oaktown
4673,89TS,Carter Ranch Airport,TX,Oakwood
4674,KOIN,Oberlin Municipal Airport,KS,Oberlin
4675,FA49,Shady International Airport,FL,Ocala
4676,K5R2,Ocean Springs Airport,MS,Ocean Springs
4677,US-2691,Camp Pendleton Highway Strip,CA,Oceanside
4678,US-2949,Camp Pendleton LHD Practice Strip,CA,Oceanside
4679,16FA,Little Deer Airport,FL,Ochopee
4680,K43D,Odessa Municipal Airport,WA,Odessa
4681,AR56,Amos Airport,AR,Oil Trough
4682,13TS,Van Es Ranch Airport,TX,Oilton
4683,S35,Okanogan Legion Airport,WA,Okanogan
4684,FD70,River Acres Airport,FL,Okeechobee
4685,US-1490,Grant Airpark (Olancha Airstrip),CA,Olancha
4686,KOVL,Olivia Regional Airport,MN,Olivia
4687,US-0460,Falwell Base,AR,Olyphant
4688,1MI3,Black River Ranch Airport,MI,Onaway
4689,KOGM,Ontonagon County Schuster Field,MI,Ontonagon
4690,2VG7,Seven Gables Airport,VA,Orange
4691,90VA,Hen & Bacon Airport,VA,Orange
4692,XS33,Chesson Airport,TX,Orange
4693,US-2169,Floyd Ranch Airport,TX,Orange Grove
4694,FD02,Patch O Blue Airport,FL,Orange Springs
4695,KODX,Evelyn Sharp Field,NE,Ord
4696,OG20,Fairways Airport,OR,Oregon City
4697,OG30,Aeroacres Airport,OR,Oregon City
4698,2NK3,Rose Field,NY,Orient
4699,K7I4,Orleans Airport,IN,Orleans
4700,0KS0,J V Ranch Airport,KS,Osage City
4701,53K,Osage City Municipal Airport,KS,Osage City
4702,KI75,Osceola Municipal Airport,IA,Osceola
4703,3MO,Sean D Sheldon Memorial Airfield,MO,Osceola
4704,K67,Oswego Municipal Airport,KS,Oswego
4705,K8N2,Skydive Chicago Airport,IL,Ottawa
4706,US-6154,Callville Bay Airport,NV,Overton
4707,D82,Ovid Airport,NY,Ovid
4708,O38,Gundys Airport,OK,Owasso
4709,US-0048,Kohn Airport,NY,Owego
4710,18MO,Gimlin Airport,MO,Ozark
4711,US-0042,Byrd's Backcountry Airstrip,AR,Ozark
4712,K71J,Ozark-Blackwell Field,AL,Ozark
4713,K3F6,Dan E Richards Municipal Airport,TX,Paducah
4714,KPYG,Pageland Airport,SC,Pageland
4715,K2G1,Concord Airpark,OH,Painesville
4716,53VG,The Salmon Farm Airport (Pvt),VA,Painter
4717,CL13,Brian Ranch Airport,CA,Palmdale
4718,3AK6,B & B Boys Ranch Airport,AK,Palmer
4719,4AK6,Wolf Lake Airport,AK,Palmer
4720,AK46,Abi Airport,AK,Palmer
4721,CN98,Walters Camp Airport,CA,Palo Verde
4722,29AZ,Paloma Ranch Airport,AZ,Paloma
4723,KPPA,Perry Lefors Field,TX,Pampa
4724,2J0,Wakulla County Airport,FL,Panacea
4725,75FL,Sandy Creek Airpark,FL,Panama City
4726,K7V2,North Fork Valley Airport,CO,Paonia
4727,3TA7,Jim Sears Airport,TX,Paradise
4728,US-0626,Musselman Airstrip,UT,Paradise
4729,UT15,Flying Cal Ute Rancheros Airport,UT,Paragonah
4730,7M6,Paris Municipal Airport,AR,Paris
