,FAA,name,state,city
0,KLAX,Los Angeles International Airport,CA,Los Angeles
1,KORD,Chicago O'Hare International Airport,IL,Chicago
2,KJFK,John F Kennedy International Airport,NY,New York
3,KATL,Hartsfield Jackson Atlanta International Airport,GA,Atlanta
4,KSFO,San Francisco International Airport,CA,San Francisco
5,KEWR,Newark Liberty International Airport,NJ,Newark
6,KDFW,Dallas Fort Worth International Airport,TX,Dallas-Fort Worth
7,KLAS,Harry Reid International Airport,NV,Las Vegas
8,KMCO,Orlando International Airport,FL,Orlando
9,KDEN,Denver International Airport,CO,Denver
10,KIAD,Washington Dulles International Airport,VA,Dulles
11,KLGA,LaGuardia Airport,NY,New York
12,KMIA,Miami International Airport,FL,Miami
13,KSEA,Seattle–Tacoma International Airport,WA,Seattle
14,KPHX,Phoenix Sky Harbor International Airport,AZ,Phoenix
15,KBOS,Logan International Airport,MA,Boston
16,KPHL,Philadelphia International Airport,PA,Philadelphia
17,KCLT,Charlotte Douglas International Airport,NC,Charlotte
18,KIAH,George Bush Intercontinental Houston Airport,TX,Houston
19,KDCA,Ronald Reagan Washington National Airport,DC,Washington
20,KDTW,Detroit Metropolitan Wayne County Airport,MI,Detroit
21,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MN,Minneapolis
22,KSLC,Salt Lake City International Airport,UT,Salt Lake City
23,KFLL,Fort Lauderdale Hollywood International Airport,FL,Fort Lauderdale
24,KMDW,Chicago Midway International Airport,IL,Chicago
25,KBWI,Baltimore/Washington International Thurgood Marshall Airport,MD,Baltimore
26,KSAN,San Diego International Airport,CA,San Diego
27,KSTL,St. Louis Lambert International Airport,MO,St Louis
28,PHNL,Daniel K Inouye International Airport,HI,"Honolulu, Oahu"
29,KPDX,Portland International Airport,OR,Portland
30,KMSY,Louis Armstrong New Orleans International Airport,LA,New Orleans
31,KTPA,Tampa International Airport,FL,Tampa
32,KBNA,Nashville International Airport,TN,Nashville
33,KCVG,Cincinnati Northern Kentucky International Airport,KY,Cincinnati / Covington
34,KRDU,Raleigh Durham International Airport,NC,Raleigh/Durham
35,KAUS,Austin Bergstrom International Airport,TX,Austin
36,KPIT,Pittsburgh International Airport,PA,Pittsburgh
37,KSAT,San Antonio International Airport,TX,San Antonio
38,KSJC,Norman Y. Mineta San Jose International Airport,CA,San Jose
39,KMCI,Kansas City International Airport,MO,Kansas City
40,KOAK,San Francisco Bay Oakland International Airport,CA,Oakland
41,KSNA,John Wayne Orange County International Airport,CA,Santa Ana
42,KMEM,Memphis International Airport,TN,Memphis
43,KCLE,Cleveland Hopkins International Airport,OH,Cleveland
44,KHOU,William P Hobby Airport,TX,Houston
45,KDAL,Dallas Love Field,TX,Dallas
46,KIND,Indianapolis International Airport,IN,Indianapolis
47,KABQ,Albuquerque International Sunport,NM,Albuquerque
48,KCMH,John Glenn Columbus International Airport,OH,Columbus
49,KMKE,General Mitchell International Airport,WI,Milwaukee
50,KTUS,Tucson International Airport / Morris Air National Guard Base,AZ,Tucson
51,KJAX,Jacksonville International Airport,FL,Jacksonville
52,KBUF,Buffalo Niagara International Airport,NY,Buffalo
53,KBDL,Bradley International Airport,CT,Hartford
54,PANC,Ted Stevens Anchorage International Airport,AK,Anchorage
55,KOKC,Will Rogers World Airport,OK,Oklahoma City
56,PHOG,Kahului International Airport,HI,Kahului
57,KSMF,Sacramento International Airport,CA,Sacramento
58,KOMA,Eppley Airfield,NE,Omaha
59,KBUR,Hollywood Burbank Airport,CA,Burbank
60,KCHS,Charleston International Airport,SC,Charleston
61,KPBI,Palm Beach International Airport,FL,West Palm Beach
62,KSDF,Louisville Muhammad Ali International Airport,KY,Louisville
63,KELP,El Paso International Airport,TX,El Paso
64,KRNO,Reno Tahoe International Airport,NV,Reno
65,KPVD,Theodore Francis Green State Airport,RI,Warwick
66,KORF,Norfolk International Airport,VA,Norfolk
67,KLGB,Long Beach Airport (Daugherty Field),CA,Long Beach
68,KRIC,Richmond International Airport,VA,Richmond
69,KSAV,Savannah Hilton Head International Airport,GA,Savannah
70,KBHM,Birmingham-Shuttlesworth International Airport,AL,Birmingham
71,PHKO,Ellison Onizuka Kona International Airport at Keahole,HI,Kailua-Kona
72,KRSW,Southwest Florida International Airport,FL,Fort Myers
73,KALB,Albany International Airport,NY,Albany
74,KONT,Ontario International Airport,CA,Ontario
75,KBOI,Boise Air Terminal/Gowen Field,ID,Boise
76,KHPN,Westchester County Airport,NY,White Plains
77,KSYR,Syracuse Hancock International Airport,NY,Syracuse
78,KGRR,Gerald R. Ford International Airport,MI,Grand Rapids
79,KDSM,Des Moines International Airport,IA,Des Moines
80,KOSH,Wittman Regional Airport,WI,Oshkosh
81,KICT,Wichita Eisenhower National Airport,KS,Wichita
82,KROC,Frederick Douglass Greater Rochester International Airport,NY,Rochester
83,KDAY,James M Cox Dayton International Airport,OH,Dayton
84,KTUL,Tulsa International Airport,OK,Tulsa
85,KPWM,Portland International Jetport,ME,Portland
86,KMSN,Dane County Regional Truax Field,WI,Madison
87,KCOS,City of Colorado Springs Municipal Airport,CO,Colorado Springs
88,KLIT,Bill & Hillary Clinton National Airport/Adams Field,AR,Little Rock
89,KGEG,Spokane International Airport,WA,Spokane
90,KMHT,Manchester-Boston Regional Airport,NH,Manchester
91,KBTV,Burlington International Airport,VT,South Burlington
92,KTYS,McGhee Tyson Airport,TN,Alcoa
93,KPSP,Palm Springs International Airport,CA,Palm Springs
94,PHLI,Lihue Airport,HI,Lihue
95,KGSP,Greenville Spartanburg International Airport,SC,Greer
96,KSBA,Santa Barbara Municipal Airport,CA,Santa Barbara
97,KEYW,Key West International Airport,FL,Key West
98,KLEX,Blue Grass Airport,KY,Lexington
99,KGSO,Piedmont Triad International Airport,NC,Greensboro
100,KPNS,Pensacola International Airport,FL,Pensacola
101,KTLH,Tallahassee Regional Airport,FL,Tallahassee
102,KSRQ,Sarasota Bradenton International Airport,FL,Sarasota/Bradenton
103,KRAP,Rapid City Regional Airport,SD,Rapid City
104,KBFI,Boeing Field King County International Airport,WA,Seattle
105,KTEB,Teterboro Airport,NJ,Teterboro
106,KAVL,Asheville Regional Airport,NC,Asheville
107,KMRY,Monterey Peninsula Airport,CA,Monterey
108,KDAB,Daytona Beach International Airport,FL,Daytona Beach
109,KPIE,St. Petersburg Clearwater International Airport,FL,Pinellas Park
110,KSFB,Orlando Sanford International Airport,FL,Orlando
111,KCAK,Akron Canton Regional Airport,OH,Akron
112,KBGR,Bangor International Airport,ME,Bangor
113,KCAE,Columbia Metropolitan Airport,SC,Columbia
114,KVGT,North Las Vegas Metropolitan International Airport,NV,Las Vegas
115,KCHO,Charlottesville Albemarle Airport,VA,Charlottesville
116,KMDT,Harrisburg International Airport,PA,Harrisburg
117,KHSV,Huntsville International Carl T Jones Field,AL,Huntsville
118,KCHA,Chattanooga Metropolitan Airport (Lovell Field),TN,Chattanooga
119,KFAT,Fresno Yosemite International Airport,CA,Fresno
120,KJAC,Jackson Hole Airport,WY,Jackson
121,KLBB,Lubbock Preston Smith International Airport,TX,Lubbock
122,KMYR,Myrtle Beach International Airport,SC,Myrtle Beach
123,KFXE,Fort Lauderdale Executive Airport,FL,Fort Lauderdale
124,PHTO,Hilo International Airport,HI,Hilo
125,KVNY,Van Nuys Airport,CA,Van Nuys
126,KGRB,Austin Straubel International Airport,WI,Green Bay
127,KSAF,Santa Fe Municipal Airport,NM,Santa Fe
128,KAPA,Centennial Airport,CO,Denver
129,KISM,Kissimmee Gateway Airport,FL,Orlando
130,KFWA,Fort Wayne International Airport,IN,Fort Wayne
131,KPDK,DeKalb Peachtree Airport,GA,Atlanta
132,KSGF,Springfield Branson National Airport,MO,Springfield
133,KMYF,Montgomery-Gibbs Executive Airport,CA,San Diego
134,KAMA,Rick Husband Amarillo International Airport,TX,Amarillo
135,KCID,The Eastern Iowa Airport,IA,Cedar Rapids
136,KSBP,San Luis County Regional Airport,CA,San Luis Obispo
137,KSBN,South Bend Regional Airport,IN,South Bend
138,KBLI,Bellingham International Airport,WA,Bellingham
139,PAFA,Fairbanks International Airport,AK,Fairbanks
140,KSMO,Santa Monica Municipal Airport,CA,Santa Monica
141,KORL,Orlando Executive Airport,FL,Orlando
142,KFAR,Hector International Airport,ND,Fargo
143,KGNV,Gainesville Regional Airport,FL,Gainesville
144,KSWF,New York Stewart International Airport,NY,Newburgh
145,KFSD,Sioux Falls Regional Airport / Joe Foss Field,SD,Sioux Falls
146,KNEW,Lakefront Airport,LA,New Orleans
147,KSEZ,Sedona Airport,AZ,Sedona
148,KBIL,Billings Logan International Airport,MT,Billings
149,KCMA,Camarillo International Airport,CA,Camarillo
150,KILM,Wilmington International Airport,NC,Wilmington
151,KCRQ,McClellan-Palomar Airport,CA,Carlsbad
152,KEUG,Mahlon Sweet Field,OR,Eugene
153,KISP,Long Island Mac Arthur Airport,NY,Islip
154,KSDL,Scottsdale Airport,AZ,Scottsdale
155,KROA,Roanoke–Blacksburg Regional Airport,VA,Roanoke
156,KLAL,Lakeland Linder International Airport,FL,Lakeland
157,KXNA,Northwest Arkansas National Airport,AR,Fayetteville/Springdale/Rogers
158,KBZN,Bozeman Yellowstone International Airport,MT,Bozeman
159,KLNK,Lincoln Airport,NE,Lincoln
160,KMAF,Midland International Air and Space Port,TX,Midland
161,KSTS,Charles M. Schulz Sonoma County Airport,CA,Santa Rosa
162,KAPF,Naples Municipal Airport,FL,Naples
163,KABE,Lehigh Valley International Airport,PA,Allentown
164,KDLH,Duluth International Airport,MN,Duluth
165,KMOB,Mobile Regional Airport,AL,Mobile
166,KPAE,Seattle Paine Field International Airport,WA,Everett
167,KBED,Laurence G Hanscom Field,MA,Bedford
168,KMLB,Melbourne Orlando International Airport,FL,Melbourne
169,KASE,Aspen-Pitkin County Airport (Sardy Field),CO,Aspen
170,KOPF,Miami-Opa Locka Executive Airport,FL,Miami
171,KSAC,Sacramento Executive Airport,CA,Sacramento
172,KAPC,Napa County Airport,CA,Napa
173,KAVP,Wilkes Barre Scranton International Airport,PA,Wilkes-Barre/Scranton
174,KLUK,Cincinnati Municipal Airport Lunken Field,OH,Cincinnati
175,KSGJ,Northeast Florida Regional Airport,FL,St Augustine
176,KBTR,Baton Rouge Metropolitan Airport,LA,Baton Rouge
177,KCRP,Corpus Christi International Airport,TX,Corpus Christi
178,KJAN,Jackson-Medgar Wiley Evers International Airport,MS,Jackson
179,KLAN,Capital City Airport,MI,Lansing
180,KRST,Rochester International Airport,MN,Rochester
181,KMSO,Missoula International Airport,MT,Missoula
182,KACK,Nantucket Memorial Airport,MA,Nantucket
183,KMKC,Charles B. Wheeler Downtown Airport,MO,Kansas City
184,KCCR,Buchanan Field,CA,Concord
185,KADS,Addison Airport,TX,Dallas
186,KBIS,Bismarck Municipal Airport,ND,Bismarck
187,KPRC,Prescott International Airport - Ernest A. Love Field,AZ,Prescott
188,KSQL,San Carlos Airport,CA,San Carlos
189,KPAO,Palo Alto Airport,CA,Palo Alto
190,KHND,Henderson Executive Airport,NV,Las Vegas
191,KCRW,Yeager Airport,WV,Charleston
192,KPHF,Newport News Williamsburg International Airport,VA,Newport News
193,KGJT,Grand Junction Regional Airport,CO,Grand Junction
194,KHXD,Hilton Head Airport,SC,Hilton Head Island
195,KMVY,Martha's Vineyard Airport,MA,Martha's Vineyard
196,KPSM,Portsmouth International at Pease Airport,NH,Portsmouth
197,KLVK,Livermore Municipal Airport,CA,Livermore
198,KWVI,Watsonville Municipal Airport,CA,Watsonville
199,KFLG,Flagstaff Pulliam International Airport,AZ,Flagstaff
200,KFNT,Bishop International Airport,MI,Flint
201,KGTF,Great Falls International Airport,MT,Great Falls
202,KTVC,Cherry Capital Airport,MI,Traverse City
203,KIWA,Mesa Gateway Airport,AZ,Mesa
204,KVRB,Vero Beach Regional Airport,FL,Vero Beach
205,KGCN,Grand Canyon National Park Airport,AZ,Grand Canyon - Tusayan
206,KMFR,Rogue Valley International Medford Airport,OR,Medford
207,KPIA,General Wayne A. Downing Peoria International Airport,IL,Peoria
208,KTOL,Eugene F. Kranz Toledo Express Airport,OH,Toledo
209,KNYL,Yuma International Airport / Marine Corps Air Station Yuma,AZ,Yuma
210,KAGS,Augusta Regional At Bush Field,GA,Augusta
211,KFTW,Fort Worth Meacham International Airport,TX,Fort Worth
212,KBFL,Meadows Field,CA,Bakersfield
213,KPUB,Pueblo Memorial Airport,CO,Pueblo
214,KPRB,Paso Robles Municipal Airport,CA,Paso Robles
215,KAVX,Catalina Airport,CA,Avalon
216,KTRI,Tri-Cities Regional TN/VA Airport,TN,Blountville
217,KEGE,Eagle County Regional Airport,CO,Eagle
218,KHWD,Hayward Executive Airport,CA,Hayward
219,KEVV,Evansville Regional Airport,IN,Evansville
220,KAZO,Kalamazoo Battle Creek International Airport,MI,Kalamazoo
221,KSGU,St George Regional Airport,UT,St George
222,KBMI,Central Illinois Regional Airport at Bloomington-Normal,IL,Bloomington/Normal
223,KCPR,Casper-Natrona County International Airport,WY,Casper
224,KTTN,Trenton Mercer Airport,NJ,Ewing Township
225,KGPT,Gulfport Biloxi International Airport,MS,Gulfport
226,PAJN,Juneau International Airport,AK,Juneau
227,KMGM,Montgomery Regional (Dannelly Field) Airport,AL,Montgomery
228,KCMI,University of Illinois Willard Airport,IL,Savoy
229,KATW,Appleton International Airport,WI,Appleton
230,KACY,Atlantic City International Airport,NJ,Atlantic City
231,KSHV,Shreveport Regional Airport,LA,Shreveport
232,KVPS,Destin-Fort Walton Beach Airport,FL,Valparaiso
233,KITH,Ithaca Tompkins Regional Airport,NY,Ithaca
234,KBKL,Burke Lakefront Airport,OH,Cleveland
235,KTVL,Lake Tahoe Airport,CA,South Lake Tahoe
236,KFRG,Republic Airport,NY,Farmingdale
237,KCLL,Easterwood Field,TX,College Station
238,KMFE,McAllen Miller International Airport,TX,McAllen
239,KGON,Groton New London Airport,CT,Groton
240,KOSU,The Ohio State University Airport - Don Scott Field,OH,Columbus
241,KTMB,Miami Executive Airport,FL,Miami
242,KDVT,Phoenix Deer Valley Airport,AZ,Phoenix
243,KMLI,Quad City International Airport,IL,Moline
244,KDWH,David Wayne Hooks Memorial Airport,TX,Houston
245,KSEE,Gillespie Field,CA,San Diego/El Cajon
246,KVCB,Nut Tree Airport,CA,Vacaville
247,KIDA,Idaho Falls Regional Airport,ID,Idaho Falls
248,KSMX,Santa Maria Public Airport Captain G Allan Hancock Field,CA,Santa Maria
249,KPGA,Page Municipal Airport,AZ,Page
250,KHFD,Hartford Brainard Airport,CT,Hartford
251,KFFZ,Falcon Field,AZ,Mesa
252,KELM,Elmira Corning Regional Airport,NY,Elmira/Corning
253,KFSM,Fort Smith Regional Airport,AR,Fort Smith
254,KGPI,Glacier Park International Airport,MT,Kalispell
255,KLSE,La Crosse Regional Airport,WI,La Crosse
256,KHVN,Tweed New Haven Airport,CT,New Haven
257,KACT,Waco Regional Airport,TX,Waco
258,KIFP,Laughlin Bullhead International Airport,AZ,Bullhead City
259,KFPR,St Lucie County International Airport,FL,Fort Pierce
260,KCYS,Cheyenne Regional Jerry Olson Field,WY,Cheyenne
261,KRFD,Chicago Rockford International Airport,IL,Chicago/Rockford
262,KHYA,Cape Cod Gateway Airport,MA,Hyannis
263,KSJT,San Angelo Regional Mathis Field,TX,San Angelo
264,KPGD,Punta Gorda Airport,FL,Punta Gorda
265,KPWK,Chicago Executive Airport,IL,Chicago/Prospect Heights/Wheeling
266,KMTH,The Florida Keys Marathon Airport,FL,Marathon
267,KHIO,Portland Hillsboro Airport,OR,Portland
268,KRBD,Dallas Executive Airport,TX,Dallas
269,KO69,Petaluma Municipal Airport,CA,Petaluma
270,KRHV,Reid-Hillview Airport of Santa Clara County,CA,San Jose
271,KBJC,Rocky Mountain Metropolitan Airport,CO,Denver
272,KFHR,Friday Harbor Airport,WA,Friday Harbor
273,KUNV,State College Regional Airport,PA,State College
274,KCHD,Chandler Municipal Airport,AZ,Chandler
275,KFFA,First Flight Airport,NC,Kill Devil Hills
276,KTCY,Tracy Municipal Airport,CA,Tracy
277,KMOD,Modesto City Co-Harry Sham Field,CA,Modesto
278,KABI,Abilene Regional Airport,TX,Abilene
279,KHII,Lake Havasu City International Airport,AZ,Lake Havasu City
280,KTRK,Truckee Tahoe Airport,CA,Truckee
281,KPOU,Dutchess County Airport,NY,Poughkeepsie
282,KFTY,Fulton County Airport Brown Field,GA,Atlanta
283,KCRG,Jacksonville Executive at Craig Airport,FL,Jacksonville
284,KOXR,Oxnard Airport,CA,Oxnard
285,KHAF,Half Moon Bay Airport,CA,Half Moon Bay
286,KOCF,Ocala International Airport - Jim Taylor Field,FL,Ocala
287,KTOA,Zamperini Field,CA,Torrance
288,KAHN,Athens Ben Epps Airport,GA,Athens
289,KBDR,Igor I Sikorsky Memorial Airport,CT,Bridgeport
290,KLNS,Lancaster Airport,PA,Lancaster
291,KSUS,Spirit of St Louis Airport,MO,St Louis
292,KHEF,Manassas Regional Airport/Harry P. Davis Field,VA,Manassas
293,KL35,Big Bear City Airport,CA,Big Bear
294,KO22,Columbia Airport,CA,Columbia
295,KFDK,Frederick Municipal Airport,MD,Frederick
296,KPWA,Wiley Post Airport,OK,Oklahoma City
297,KCDC,Cedar City Regional Airport,UT,Cedar City
298,KERI,Erie International Tom Ridge Field,PA,Erie
299,KFAY,Fayetteville Regional Airport - Grannis Field,NC,Fayetteville
300,KGFK,Grand Forks International Airport,ND,Grand Forks
301,KRDD,Redding Municipal Airport,CA,Redding
302,KSLN,Salina Municipal Airport,KS,Salina
303,KDET,Coleman A. Young Municipal Airport,MI,Detroit
304,KDRO,Durango La Plata County Airport,CO,Durango
305,KIAG,Niagara Falls International Airport,NY,Niagara Falls
306,KOGD,Ogden Hinckley Airport,UT,Ogden
307,KMMU,Morristown Municipal Airport,NJ,Morristown
308,KDPA,Dupage Airport,IL,Chicago/West Chicago
309,KFMY,Page Field,FL,Fort Myers
310,KTRM,Jacqueline Cochran Regional Airport,CA,Palm Springs
311,KI69,Clermont County Airport,OH,Batavia
312,KFUL,Fullerton Municipal Airport,CA,Fullerton
313,KCOU,Columbia Regional Airport,MO,Columbia
314,KSPI,Abraham Lincoln Capital Airport,IL,Springfield
315,KDTS,Destin Executive Airport,FL,Destin
316,KAUN,Auburn Municipal Airport,CA,Auburn
317,KCDW,Essex County Airport,NJ,Caldwell
318,KFCM,Flying Cloud Airport,MN,Minneapolis
319,KRNT,Renton Municipal Airport,WA,Renton
320,KBRO,Brownsville South Padre Island International Airport,TX,Brownsville
321,KPSC,Tri Cities Airport,WA,Pasco
322,KORH,Worcester Regional Airport,MA,Worcester
323,KYIP,Willow Run Airport,MI,Detroit
324,KMHR,Sacramento Mather Airport,CA,Sacramento
325,KSCK,Stockton Metropolitan Airport,CA,Stockton
326,KGLS,Scholes International At Galveston Airport,TX,Galveston
327,KSDM,Brown Field Municipal Airport,CA,San Diego
328,KSSI,St Simons Island Airport,GA,St Simons Island
329,KF70,French Valley Airport,CA,Murrieta
330,KSUA,Witham Field,FL,Stuart
331,KTYR,Tyler Pounds Regional Airport,TX,Tyler
332,KMER,Castle Airport,CA,Merced
333,KLZU,Gwinnett County Briscoe Field,GA,Lawrenceville
334,KLXV,Lake County Airport,CO,Leadville
335,KDVO,Marin County Airport - Gnoss Field,CA,Novato
336,KLEB,Lebanon Municipal Airport,NH,Lebanon
337,KLYH,Lynchburg Regional Airport - Preston Glenn Field,VA,Lynchburg
338,KRDM,Roberts Field,OR,Redmond
339,KROW,Roswell Air Center Airport,NM,Roswell
340,KECP,Northwest Florida Beaches International Airport,FL,Panama City Beach
341,KIGM,Kingman Airport,AZ,Kingman
342,KBAF,Westfield-Barnes Regional Airport,MA,Westfield
343,KPTK,Oakland County International Airport,MI,Pontiac
344,KEEN,Dillant Hopkins Airport,NH,Keene
345,KCNO,Chino Airport,CA,Chino
346,3O8,Harris Ranch Airport,CA,Coalinga
347,KIXD,New Century AirCenter Airport,KS,New Century
348,KVNC,Venice Municipal Airport,FL,Venice
349,KGIF,Winter Haven Regional Airport - Gilbert Field,FL,Winter Haven
350,KHRL,Valley International Airport,TX,Harlingen
351,KLFT,Lafayette Regional Airport,LA,Lafayette
352,KMOT,Minot International Airport,ND,Minot
353,KMLU,Monroe Regional Airport,LA,Monroe
354,KIPT,Williamsport Regional Airport,PA,Williamsport
355,KPNE,Northeast Philadelphia Airport,PA,Philadelphia
356,KPVU,Provo-Utah Lake International Airport,UT,Provo
357,KGFL,Floyd Bennett Memorial Airport,NY,Glens Falls
358,KRYY,Cobb County International Airport-McCollum Field,GA,Atlanta
359,KCGZ,Casa Grande Municipal Airport,AZ,Casa Grande
360,KRYN,Ryan Field,AZ,Tucson
361,KHLN,Helena Regional Airport,MT,Helena
362,KLRD,Laredo International Airport,TX,Laredo
363,KGGG,East Texas Regional Airport,TX,Longview
364,KILG,Wilmington Airport,DE,Wilmington
365,KHHR,Jack Northrop Field Hawthorne Municipal Airport,CA,Hawthorne
366,KMCC,McClellan Airfield,CA,Sacramento
367,KTIX,Space Coast Regional Airport,FL,Titusville
368,KBLH,Blythe Airport,CA,Blythe
369,KLOU,Bowman Field,KY,Louisville
370,KRVS,Tulsa Riverside Airport,OK,Tulsa
371,KGTU,Georgetown Executive Airport at Johnny Gantt Field,TX,Georgetown
372,KJZI,Charleston Executive Airport,SC,Johns Island
373,KLCI,Laconia Municipal Airport,NH,Laconia / Gilford
374,KBGM,Greater Binghamton/Edwin A Link field,NY,Binghamton
375,KLCK,Rickenbacker International Airport,OH,Columbus
376,KMBS,MBS International Airport,MI,Freeland
377,KHOT,Memorial Field Airport,AR,Hot Springs
378,KRAL,Riverside Municipal Airport,CA,Riverside
379,KSGR,Sugar Land Regional Airport,TX,Houston
380,KFNL,Northern Colorado Regional Airport,CO,Loveland
381,KOWD,Norwood Memorial Airport,MA,Norwood
382,KRBL,Red Bluff Municipal Airport,CA,Red Bluff
383,KCIC,Chico Regional Airport,CA,Chico
384,KPVC,Provincetown Municipal Airport,MA,Provincetown
385,KLBE,Arnold Palmer Regional Airport,PA,Latrobe
386,KAGC,Allegheny County Airport,PA,Pittsburgh
387,KMTJ,Montrose Regional Airport,CO,Montrose
388,KBWG,Bowling Green Warren County Regional Airport,KY,Bowling Green
389,KSNS,Salinas Municipal Airport,CA,Salinas
390,KC83,Byron Airport,CA,Byron
391,KASH,Nashua Airport / Boire Field,NH,Nashua
392,KACV,California Redwood Coast-Humboldt County Airport,CA,Arcata/Eureka
393,KCSG,Columbus Metropolitan Airport,GA,Columbus
394,KDBQ,Dubuque Regional Airport,IA,Dubuque
395,KEAU,Chippewa Valley Regional Airport,WI,Eau Claire
396,KGCK,Garden City Regional Airport,KS,Garden City
397,KMHK,Manhattan Regional Airport,KS,Manhattan
398,KLBF,North Platte Regional Airport Lee Bird Field,NE,North Platte
399,KSBY,Salisbury Ocean City Wicomico Regional Airport,MD,Salisbury
400,KSUX,Sioux Gateway Airport / Brigadier General Bud Day Field,IA,Sioux City
401,KBHB,Hancock County-Bar Harbor Airport,ME,Bar Harbor
402,KIPL,Imperial County Airport,CA,Imperial
403,KCNY,Canyonlands Regional Airport,UT,Moab
404,KMMV,Mc Minnville Municipal Airport,OR,Mc Minnville
405,KWJF,General William J Fox Airfield,CA,Lancaster
406,KTOP,Philip Billard Municipal Airport,KS,Topeka
407,KWWD,Cape May County Airport,NJ,Wildwood
408,KCPS,St Louis Downtown Airport,IL,Cahokia/St Louis
409,KDTO,Denton Enterprise Airport,TX,Denton
410,KJVL,Southern Wisconsin Regional Airport,WI,Janesville
411,KLXT,Lee's Summit Municipal Airport,MO,Lee's Summit
412,KOJC,Johnson County Executive Airport,KS,Olathe
413,KPHK,Palm Beach County Glades Airport,FL,Pahokee
414,KE16,San Martin Airport,CA,San Martin
415,KCNM,Cavern City Air Terminal,NM,Carlsbad
416,KAFW,Perot Field/Fort Worth Alliance Airport,TX,Fort Worth
417,KSTP,Saint Paul Downtown Holman Field,MN,Saint Paul
418,KSHD,Shenandoah Valley Regional Airport,VA,Weyers Cave
419,KUKI,Ukiah Municipal Airport,CA,Ukiah
420,KCOE,Coeur D'Alene Airport - Pappy Boyington Field,ID,Coeur d'Alene
421,KBID,Block Island State Airport,RI,Block Island
422,KTKI,McKinney National Airport,TX,Dallas
423,KMEV,Minden-Tahoe Airport,NV,Minden
424,KXFL,Flagler Executive Airport,FL,Palm Coast
425,KPVF,Placerville Airport,CA,Placerville
426,KRNM,Ramona Airport,CA,Ramona
427,KSPG,Albert Whitted Airport,FL,St Petersburg
428,KEKO,Elko Regional Airport,NV,Elko
429,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,TX,Wichita Falls
430,K61B,Boulder City Municipal Airport,NV,Boulder City
431,KSBD,San Bernardino International Airport,CA,San Bernardino
432,KTCL,Tuscaloosa National Airport,AL,Tuscaloosa
433,KBCT,Boca Raton Airport,FL,Boca Raton
434,KSSF,Stinson Municipal Airport,TX,San Antonio
435,KVIS,Visalia Municipal Airport,CA,Visalia
436,KBKV,Brooksville–Tampa Bay Regional Airport,FL,Brooksville
437,KMKY,Marco Island Executive Airport,FL,Marco Island
438,KOKB,Oceanside Municipal Airport,CA,Oceanside
439,KWLW,Willows Glenn County Airport,CA,Willows
440,KAEX,Alexandria International Airport,LA,Alexandria
441,KPAH,Barkley Regional Airport,KY,Paducah
442,KRUT,Rutland - Southern Vermont Regional Airport,VT,Rutland
443,KYNG,Youngstown Warren Regional Airport,OH,Youngstown/Warren
444,KBRD,Brainerd Lakes Regional Airport,MN,Brainerd
445,KJQF,Concord-Padgett Regional Airport,NC,Concord
446,KPWT,Bremerton National Airport,WA,Bremerton
447,KLWM,Lawrence Municipal Airport,MA,Lawrence
448,KCON,Concord Municipal Airport,NH,Concord
449,KGMU,Greenville Downtown Airport,SC,Greenville
450,KCRE,Grand Strand Airport,SC,North Myrtle Beach
451,KFLD,Fond du Lac County Airport,WI,Fond du Lac
452,KT82,Gillespie County Airport,TX,Fredericksburg
453,KCVH,Hollister Municipal Airport,CA,Hollister
454,KPAN,Payson Airport,AZ,Payson
455,KMEI,Key Field / Meridian Regional Airport,MS,Meridian
456,KPIH,Pocatello Regional Airport,ID,Pocatello
457,KSAW,Marquette/Sawyer International Airport,MI,Gwinn
458,KOLM,Olympia Regional Airport,WA,Olympia
459,KTIW,Tacoma Narrows Airport,WA,Tacoma
460,KCXO,Conroe-North Houston Regional Airport,TX,Houston
461,KHUT,Hutchinson Municipal Airport,KS,Hutchinson
462,KSTJ,Rosecrans Memorial Airport,MO,St Joseph
463,KBVY,Beverly Regional Airport,MA,Beverly / Danvers
464,KDAG,Barstow Daggett Airport,CA,Daggett
465,KFDY,Findlay Airport,OH,Findlay
466,KINW,Winslow Lindbergh Regional Airport,AZ,Winslow
467,KARB,Ann Arbor Municipal Airport,MI,Ann Arbor
468,KAPV,Apple Valley Airport,CA,Apple Valley
469,KBDN,Bend Municipal Airport,OR,Bend
470,KEMT,San Gabriel Valley Airport,CA,El Monte
471,KEYE,Eagle Creek Airpark,IN,Indianapolis
472,KPOC,Brackett Field,CA,La Verne
473,KAVQ,Marana Regional Airport,AZ,Marana
474,KJWN,John C Tune Airport,TN,Nashville
475,KO88,Rio Vista Municipal Airport,CA,Rio Vista
476,PAKT,Ketchikan International Airport,AK,Ketchikan
477,KRDG,Reading Regional Airport (Carl A Spaatz Field),PA,Reading
478,KAWO,Arlington Municipal Airport,WA,Arlington
479,KDXR,Danbury Municipal Airport,CT,Danbury
480,KMCE,Merced Regional Macready Field,CA,Merced
481,KWYS,Yellowstone Airport,MT,West Yellowstone
482,KINT,Smith Reynolds Airport,NC,Winston Salem
483,KMIE,Delaware County Johnson Field,IN,Muncie
484,KUAO,Aurora State Airport,OR,Aurora
